Country/Region,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
Afghanistan,0.0,0.1724137931034483,5.193548387096774,54.5,419.64516129032256,520.3,154.19354838709677,46.83870967741935,35.733333333333334,63.32258064516129,159.66666666666666,188.1290322580645,80.96774193548387,23.392857142857142,23.258064516129032,107.6,383.83870967741933,1522.7333333333333,868.9677419354839,184.48387096774192,63.8,34.16129032258065,33.5,23.387096774193548,155.4516129032258,360.85714285714283,124.7741935483871,36.56666666666667,46.70967741935484,70.3,101.7741935483871,236.1290322580645,188.93333333333334,121.06451612903226,91.33333333333333,47.935483870967744,29.967741935483872,27.5,3.5806451612903225
Albania,0.0,0.0,7.838709677419355,17.133333333333333,11.451612903225806,46.4,86.96774193548387,132.80645161290323,134.76666666666668,228.03225806451613,566.0,622.6451612903226,639.0645161290323,1006.25,555.6774193548387,185.96666666666667,36.45161290322581,6.133333333333334,18.0,427.93548387096774,758.7333333333333,468.4516129032258,481.6,324.2258064516129,1558.6774193548388,465.0,63.70967741935484,44.93333333333333,30.129032258064516,154.33333333333334,987.9677419354839,547.6451612903226,86.86666666666666,22.677419354838708,12.466666666666667,14.387096774193548,11.483870967741936,7.642857142857143,1.5806451612903225
Algeria,0.0,0.034482758620689655,23.06451612903226,105.3,169.03225806451613,146.46666666666667,520.0645161290323,436.9032258064516,223.23333333333332,201.67741935483872,830.9,498.64516129032256,240.06451612903226,196.92857142857142,127.0,160.13333333333333,212.96774193548387,346.93333333333334,1010.2258064516129,758.5806451612904,227.73333333333332,94.6774193548387,132.16666666666666,248.67741935483872,1074.1612903225807,407.7142857142857,21.322580645161292,3.3666666666666667,3.2903225806451615,6.666666666666667,43.516129032258064,88.96774193548387,10.466666666666667,5.225806451612903,8.366666666666667,4.258064516129032,4.806451612903226,2.0,1.5483870967741935
Andorra,0.0,0.0,12.129032258064516,11.833333333333334,0.6129032258064516,3.0,2.2580645161290325,8.096774193548388,28.866666666666667,87.29032258064517,64.0,40.61290322580645,58.70967741935484,31.928571428571427,36.16129032258065,39.3,15.96774193548387,6.066666666666666,24.516129032258064,11.451612903225806,5.866666666666666,9.483870967741936,53.3,203.67741935483872,394.1290322580645,72.89285714285714,59.96774193548387,44.166666666666664,49.83870967741935,29.333333333333332,42.935483870967744,16.741935483870968,6.666666666666667,9.935483870967742,22.8,17.161290322580644,2.838709677419355,0.9642857142857143,0.4838709677419355
Angola,0.0,0.0,0.22580645161290322,0.6333333333333333,1.8064516129032258,6.6,27.64516129032258,48.064516129032256,74.76666666666667,183.58064516129033,136.8,74.25806451612904,71.87096774193549,34.92857142857143,47.0,141.76666666666668,249.5483870967742,136.56666666666666,122.96774193548387,152.5483870967742,293.4,205.06451612903226,23.666666666666668,529.3548387096774,507.03225806451616,18.392857142857142,13.64516129032258,3.1,15.290322580645162,51.96666666666667,31.64516129032258,10.806451612903226,16.5,0.0,51.5,13.516129032258064,2.870967741935484,2.5357142857142856,0.3548387096774194
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3548387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.22580645161290322,0.5666666666666667,0.03225806451612903,1.4333333333333333,0.7096774193548387,0.0967741935483871,0.23333333333333334,0.8709677419354839,0.43333333333333335,0.5483870967741935,2.4193548387096775,17.714285714285715,11.838709677419354,2.8333333333333335,0.9032258064516129,0.1,1.2580645161290323,13.290322580645162,50.4,23.29032258064516,2.6333333333333333,4.580645161290323,75.61290322580645,28.928571428571427,1.4193548387096775,4.433333333333334,20.225806451612904,12.933333333333334,3.774193548387097,6.483870967741935,4.133333333333334,0.25806451612903225,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,0.0,34.0,112.46666666666667,397.38709677419354,1570.5,4003.3870967741937,7135.225806451613,10758.733333333334,12965.225806451614,8366.666666666666,6224.0,9601.451612903225,6196.857142857143,7638.645161290323,20470.4,25416.74193548387,21774.5,14135.90322580645,8057.193548387097,2198.4666666666667,978.741935483871,1360.1,10379.967741935483,87233.16129032258,16888.5,4314.032258064516,1079.7333333333333,4738.709677419355,4553.3,6230.1612903225805,3803.8064516129034,1006.5,337.258064516129,279.06666666666666,5286.8387096774195,4709.548387096775,249.64285714285714,26.838709677419356
Armenia,0.0,0.0,17.129032258064516,49.833333333333336,230.1290322580645,535.0,402.741935483871,159.3548387096774,216.03333333333333,1256.8709677419354,1429.0,756.1935483870968,235.09677419354838,177.5,658.8064516129032,744.2666666666667,195.93548387096774,77.23333333333333,157.70967741935485,380.51612903225805,631.5666666666667,1474.032258064516,970.7,190.6451612903226,735.9677419354839,1746.7857142857142,76.2258064516129,10.9,2.967741935483871,9.333333333333334,68.45161290322581,291.38709677419354,282.56666666666666,76.35483870967742,16.5,7.709677419354839,1.032258064516129,28.964285714285715,15.774193548387096
Australia,0.2903225806451613,0.4482758620689655,146.19354838709677,63.46666666666667,13.67741935483871,23.3,299.3225806451613,255.61290322580646,39.1,15.67741935483871,10.366666666666667,16.193548387096776,11.548387096774194,5.535714285714286,10.838709677419354,15.933333333333334,9.483870967741936,17.3,119.3225806451613,660.6774193548387,1687.3666666666666,2016.5806451612902,1283.0,6843.193548387097,68304.2258064516,21945.89285714286,42461.096774193546,44165.96666666667,42582.22580645161,27284.966666666667,40030.0,18348.354838709678,6266.866666666667,4477.774193548387,9292.433333333332,12567.09677419355,5242.354838709677,2532.6785714285716,1067.7096774193549
