Continent,Year,Week,Mean_Cases,Stddev_Cases,Min_Cases,Max_Cases
Africa,2020,4,0.0,0.0,0,0
Africa,2020,5,0.0,0.0,0,0
Africa,2020,6,0.0,0.0,0,0
Africa,2020,7,0.0,0.0,0,0
Africa,2020,8,0.0,0.0,0,0
Africa,2020,9,0.0,0.0,0,0
Africa,2020,10,0.07142857142857142,0.262265264156481,0,1
Africa,2020,11,0.5714285714285714,1.8141128109919984,0,9
Africa,2020,12,2.642857142857143,4.279272054002797,0,15
Africa,2020,13,11.75,16.50729356196045,0,59
Africa,2020,14,13.0,19.89416441516903,0,82
Africa,2020,15,9.571428571428571,12.121082250386511,0,41
Africa,2020,16,7.0,12.727922061357855,0,42
Africa,2020,17,3.0,5.824596632036069,0,25
Africa,2020,18,2.7777777777777777,4.8858770831647895,0,18
Africa,2020,19,0.75,1.4561491580090176,0,5
Africa,2020,20,0.5357142857142857,1.1700630833624395,0,5
Africa,2020,21,1.2857142857142858,1.8228415517403929,0,6
Africa,2020,22,5.392857142857143,15.178784623463851,0,76
Africa,2020,23,4.321428571428571,7.822349611156065,0,28
Africa,2020,24,4.642857142857143,7.636240522152855,0,27
Africa,2020,25,7.0,12.418624006798105,0,62
Africa,2020,26,3.4642857142857144,6.125128224551366,0,23
Africa,2020,27,12.607142857142858,22.851111141983452,0,83
Africa,2020,28,16.678571428571427,26.76655399371411,0,98
Africa,2020,29,30.75,59.06595497439314,0,273
Africa,2020,30,40.857142857142854,60.401566257417585,0,214
Africa,2020,31,58.42857142857143,110.0553492301937,0,490
Africa,2020,32,30.857142857142858,50.581591063324154,0,154
Africa,2020,33,51.214285714285715,61.8530858793984,0,262
Africa,2020,34,52.642857142857146,63.227522304132535,0,265
Africa,2020,35,59.785714285714285,70.03351427490357,0,254
Africa,2020,36,77.14285714285714,94.89007842828977,0,278
Africa,2020,37,90.64285714285714,151.34023828733626,0,465
Africa,2020,38,163.39285714285714,349.5780884825162,0,1622
Africa,2020,39,209.46428571428572,451.0872858084004,0,1722
Africa,2020,40,230.75,475.9711028421166,0,1308
Africa,2020,41,375.2142857142857,1012.0827940492724,0,4360
Africa,2020,42,362.75,1161.1847597588835,0,5752
Africa,2020,43,324.82142857142856,648.7733755766668,0,2185
Africa,2020,44,469.25,1045.8650371467277,0,3751
Africa,2020,45,406.0,796.3396818499558,0,3209
Africa,2020,46,356.7142857142857,610.0186917077248,0,1671
Africa,2020,47,360.42857142857144,657.7341818457164,0,2493
Africa,2020,48,314.7857142857143,475.4298917932927,0,1295
Africa,2020,49,354.35714285714283,698.0601276386883,0,2620
Africa,2020,50,316.9642857142857,480.3450520694671,0,1411
Africa,2020,51,389.9642857142857,631.4259865217984,0,1880
Africa,2020,52,452.5357142857143,675.4889303116262,0,1826
Africa,2020,53,569.875,822.0617880265044,0,2414
Africa,2021,1,828.6071428571429,955.160150980538,0,2820
Africa,2021,2,995.1071428571429,1265.2361612168668,0,4170
Africa,2021,3,846.3571428571429,1066.4142831378542,0,3890
Africa,2021,4,543.9642857142857,700.3674951815499,0,2028
Africa,2021,5,413.9642857142857,538.7339398409088,0,1445
Africa,2021,6,293.2857142857143,401.18268279369306,0,1086
Africa,2021,7,262.42857142857144,355.7264271955219,0,903
Africa,2021,8,252.21428571428572,365.45378763869843,0,1197
Africa,2021,9,286.17857142857144,516.2244741117546,0,2356
Africa,2021,10,240.96428571428572,370.0211687781056,0,1186
Africa,2021,11,198.89285714285714,296.5099885002582,0,901
Africa,2021,12,287.39285714285717,490.2962323969515,0,2066
