Country/Region,YearMonth,AverageDailyCases
Afghanistan,2020-01,0.0
Afghanistan,2020-02,0.1724137931034483
Afghanistan,2020-03,5.193548387096774
Afghanistan,2020-04,54.5
Afghanistan,2020-05,419.64516129032256
Afghanistan,2020-06,520.3
Afghanistan,2020-07,154.19354838709677
Afghanistan,2020-08,46.83870967741935
Afghanistan,2020-09,35.733333333333334
Afghanistan,2020-10,63.32258064516129
Afghanistan,2020-11,159.66666666666666
Afghanistan,2020-12,188.1290322580645
Afghanistan,2021-01,80.96774193548387
Afghanistan,2021-02,23.392857142857142
Afghanistan,2021-03,23.258064516129032
Afghanistan,2021-04,107.6
Afghanistan,2021-05,383.83870967741933
Afghanistan,2021-06,1522.7333333333333
Afghanistan,2021-07,868.9677419354839
Afghanistan,2021-08,184.48387096774192
Afghanistan,2021-09,63.8
Afghanistan,2021-10,34.16129032258065
Afghanistan,2021-11,33.5
Afghanistan,2021-12,23.387096774193548
Afghanistan,2022-01,155.4516129032258
Afghanistan,2022-02,360.85714285714283
Afghanistan,2022-03,124.7741935483871
Afghanistan,2022-04,36.56666666666667
Afghanistan,2022-05,46.70967741935484
Afghanistan,2022-06,70.3
Afghanistan,2022-07,101.7741935483871
Afghanistan,2022-08,236.1290322580645
Afghanistan,2022-09,188.93333333333334
Afghanistan,2022-10,121.06451612903226
Afghanistan,2022-11,91.33333333333333
Afghanistan,2022-12,47.935483870967744
Afghanistan,2023-01,29.967741935483872
Afghanistan,2023-02,27.5
Afghanistan,2023-03,3.5806451612903225
Albania,2020-01,0.0
Albania,2020-02,0.0
Albania,2020-03,7.838709677419355
Albania,2020-04,17.133333333333333
Albania,2020-05,11.451612903225806
Albania,2020-06,46.4
Albania,2020-07,86.96774193548387
Albania,2020-08,132.80645161290323
Albania,2020-09,134.76666666666668
Albania,2020-10,228.03225806451613
Albania,2020-11,566.0
Albania,2020-12,622.6451612903226
Albania,2021-01,639.0645161290323
Albania,2021-02,1006.25
Albania,2021-03,555.6774193548387
Albania,2021-04,185.96666666666667
Albania,2021-05,36.45161290322581
Albania,2021-06,6.133333333333334
Albania,2021-07,18.0
Albania,2021-08,427.93548387096774
Albania,2021-09,758.7333333333333
Albania,2021-10,468.4516129032258
Albania,2021-11,481.6
Albania,2021-12,324.2258064516129
Albania,2022-01,1558.6774193548388
Albania,2022-02,465.0
Albania,2022-03,63.70967741935484
Albania,2022-04,44.93333333333333
Albania,2022-05,30.129032258064516
Albania,2022-06,154.33333333333334
Albania,2022-07,987.9677419354839
Albania,2022-08,547.6451612903226
Albania,2022-09,86.86666666666666
Albania,2022-10,22.677419354838708
Albania,2022-11,12.466666666666667
Albania,2022-12,14.387096774193548
Albania,2023-01,11.483870967741936
Albania,2023-02,7.642857142857143
Albania,2023-03,1.5806451612903225
Algeria,2020-01,0.0
Algeria,2020-02,0.034482758620689655
Algeria,2020-03,23.06451612903226
Algeria,2020-04,105.3
Algeria,2020-05,169.03225806451613
Algeria,2020-06,146.46666666666667
Algeria,2020-07,520.0645161290323
Algeria,2020-08,436.9032258064516
Algeria,2020-09,223.23333333333332
Algeria,2020-10,201.67741935483872
Algeria,2020-11,830.9
Algeria,2020-12,498.64516129032256
Algeria,2021-01,240.06451612903226
Algeria,2021-02,196.92857142857142
Algeria,2021-03,127.0
Algeria,2021-04,160.13333333333333
Algeria,2021-05,212.96774193548387
Algeria,2021-06,346.93333333333334
Algeria,2021-07,1010.2258064516129
Algeria,2021-08,758.5806451612904
Algeria,2021-09,227.73333333333332
Algeria,2021-10,94.6774193548387
Algeria,2021-11,132.16666666666666
Algeria,2021-12,248.67741935483872
Algeria,2022-01,1074.1612903225807
Algeria,2022-02,407.7142857142857
Algeria,2022-03,21.322580645161292
Algeria,2022-04,3.3666666666666667
Algeria,2022-05,3.2903225806451615
Algeria,2022-06,6.666666666666667
Algeria,2022-07,43.516129032258064
Algeria,2022-08,88.96774193548387
Algeria,2022-09,10.466666666666667
Algeria,2022-10,5.225806451612903
Algeria,2022-11,8.366666666666667
Algeria,2022-12,4.258064516129032
Algeria,2023-01,4.806451612903226
Algeria,2023-02,2.0
Algeria,2023-03,1.5483870967741935
Andorra,2020-01,0.0
Andorra,2020-02,0.0
Andorra,2020-03,12.129032258064516
Andorra,2020-04,11.833333333333334
Andorra,2020-05,0.6129032258064516
Andorra,2020-06,3.0
Andorra,2020-07,2.2580645161290325
Andorra,2020-08,8.096774193548388
